,Name,Rating,Reviews,Price,Street Name,Zip Code,City,Cluster
332,Tomodachi Sushi - Simi Valley,4.5,332,2,E,93065,Simi Valley,1
333,Michi Japanese Kitchen,4.0,60,0,W,90066,Los Angeles,1
334,Kazuya Japanese Restaurant,4.5,159,2,Los,93021,Moorpark,1
335,Tampopo Restaurant,4.0,644,2,S,90249,Gardena,1
336,Oki Doki Sushi,4.0,647,2,Pacific,90254,Hermosa Beach,1
337,Seabutter - Westlake Village,4.5,126,0,Promenade,91362,Westlake Village,1
338,Hokkaido Ramen Santouka,4.5,2327,2,S,90066,Los Angeles,0
339,Nozawa Bar,4.5,280,4,N,90210,Beverly Hills,1
340,Sushi Karen,5.0,176,3,S,91105,Pasadena,1
341,Haji Sushi House,5.0,4,0,Wilshire,90048,Los Angeles,1
342,I Luv Sushi,4.5,2838,2,E,90712,Lakewood,0
343,Oono Sushi,4.5,28,1,,90067,Los Angeles,1
344,Yu/Mi Sushi Too,3.5,193,3,S,90210,Beverly Hills,1
345,Sushi 818 Kare Don,4.5,254,2,W,91203,Glendale,1
346,Roll Roll,4.0,771,2,1/2,91356,Los Angeles,1
347,Sushi Ahn,4.5,80,2,Colorado,90041,Los Angeles,1
348,39 Degrees,4.5,2406,2,Redondo,90814,Long Beach,0
349,Yakuza Sushi,4.0,183,2,Silver,90026,Los Angeles,1
350,Shiso Sushi Bar,4.5,126,2,Saticoy,91605,Los Angeles,1
351,Sasabune Beverly Hills,4.0,270,4,W,90212,Beverly Hills,1
352,Ginza AYCE Sushi - Torrance,4.0,1005,3,Crenshaw,90505,Torrance,1
353,Sasabune Glendale,4.5,341,4,N,91203,Glendale,1
354,Miyabi Uni,4.5,760,3,Cabrillo,90501,Torrance,1
355,Sushi Ike,4.0,394,3,Hollywood,90028,Los Angeles,1
356,Wadatsumi - Torrance,4.0,603,2,W,90501,Torrance,1
357,Katsuya LA Live,3.5,1814,3,W,90015,Los Angeles,0
358,The Honor Bar,4.5,1841,2,S,90212,Beverly Hills,0
359,Oji Sushi & Sake Bar,4.5,549,2,W,90640,Montebello,1
360,Anzu,4.5,364,2,La,90025,Los Angeles,1
361,Tokyo Fast Food,4.0,301,1,Santa,90025,Los Angeles,1
362,Arashi Sushi,4.0,846,2,S,90015,Los Angeles,1
363,Mezzanine Sushi,4.5,4,0,W,90048,Los Angeles,1
364,Shogun Sushi,4.5,310,2,E,93550,Palmdale,1
365,Sushi Nishi-ya,4.5,461,4,Victory,91201,Glendale,1
366,Kumi Ko,4.5,378,2,S,90221,Compton,1
367,Doko Sushi,4.5,205,2,Ventura,91356,Los Angeles,1
368,Wokcano,3.5,568,2,W,90046,Los Angeles,1
369,Sushi Yoko,4.5,325,2,W,90249,Gardena,1
370,Kaviar Pasadena,4.5,549,0,N,91103,Pasadena,1
371,Daiki Sushi Restaurant,4.0,611,2,S,91754,Monterey Park,1
372,The Brothers Sushi,4.0,680,4,Ventura,91364,Woodland Hills,1
373,Niko Niko Sushi,4.0,38,0,W,90631,La Habra,1
374,Malama Pono Restaurant,5.0,509,2,Ventura,91423,Los Angeles,1
375,Sushi 661,4.5,1695,2,Sierra,91321,Santa Clarita,0
376,Matsu Sushi,4.0,243,2,The,91310,Castaic,1
377,KazuNori - Studio City,4.5,93,0,Ventura,91604,Studio City,1
378,Sushi Corner,4.5,36,2,San,91201,Glendale,1
